ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2020,3,ANCHOVETA,134965.90688483568,1686.46,2,3,0.007713084007840097,0,2020-03-01,7767.468999999997,0,7767.468999999997,4,1,0,1
2020,3,JUREL,135341.9363805755,2965.698,2,2,0.08818115508467962,0,2020-03-01,77125.61100000002,74999.18800000002,2126.4229999999993,2,1,0.9724290936249439,0.027570906375056124
2020,3,SARDINA COMUN,134610.29083564138,16180.565,2,4,0.0014319546408916633,0,2020-03-01,35224.99100000004,0,35224.99100000004,5,2,0,1
2020,4,ANCHOVETA,158025.99642539743,6233.699999999998,3,4,0.23712047838680889,0,2020-04-01,53235.635999999984,0,53235.635999999984,4,1,0,1
2020,4,JUREL,184527.939377391,11664.625,2,3,0.30399829878939727,0,2020-04-01,60908.149999999965,60896.64699999997,11.503,2,0,0.999811141858684,1.8885814131606372e-4
2020,4,SARDINA COMUN,147136.51150593703,41298.201,3,5,0.20624793628030996,0,2020-04-01,104305.04799999992,5.725,104299.3229999999,4,2,5.488708465960347e-5,0.9999451129153402
2020,5,ANCHOVETA,169625.7193202451,3286.361,2,3,0.13019594232654988,0,2020-05-01,41502.43499999997,5.041,41497.39399999997,3,1,1.2146275272764127e-4,0.9998785372472724
2020,5,JUREL,180163,2794.6610000000005,1,1,NA,0,2020-05-01,66974.86999999998,66967.25999999998,7.609999999999999,2,0,0.9998863752927031,1.1362470729693095e-4
2020,5,SARDINA COMUN,156196.38603595077,16297.565,2,4,0.04437890093280633,0,2020-05-01,37355.82299999999,45.374,37310.44899999999,4,1,0.001214643296709057,0.998785356703291
2020,6,ANCHOVETA,162337.76491732852,1513.944,2,2,0.11615437445092743,0,2020-06-01,13609.637,0,13609.637,3,1,0,1
2020,6,JUREL,172458,2337.03,1,1,NA,0,2020-06-01,51820.873999999996,51810.274,10.6,2,0,0.9997954492238013,2.045507761987959e-4
2020,6,SARDINA COMUN,149156.28802496206,4610.523999999999,2,3,0.0316067480807189,0,2020-06-01,8706.608999999997,0,8706.608999999997,4,0,0,1
2020,7,ANCHOVETA,174124,852.523,1,1,NA,0,2020-07-01,6638.683,0,6638.683,3,1,0,1
2020,7,SARDINA COMUN,170707.4114135837,834.97,1,2,NA,0,2020-07-01,4312.121,0,4312.121,4,0,0,1
2020,11,ANCHOVETA,191823,3814.970999999999,1,1,NA,0,2020-11-01,35925.03799999997,538.307,35386.73099999997,3,1,0.01498417343358135,0.9850158265664186
